,A,Z,W
0,1643877771,1643466779,2
1,1643466779,1643693470,2
2,1876731744,1776829745,4
3,1554847194,1776737461,4
4,1776737461,1776829745,2
5,1776829745,1882940042,4
6,1643868459,1643889063,2
7,1882504626,1882879383,2
8,1882879383,1882605280,2
9,1882605280,1882524892,2
10,1882940042,1882047846,2
11,1882047846,1882524892,2
12,1882524892,1882029963,2
13,1882029963,1882782502,2
14,1882782502,1882284139,2
15,1882284139,1882489296,2
16,1882489296,1882092632,2
17,1643693470,1643387315,2
18,1882092632,1882468874,2
19,1882468874,1016976740,4
20,1643889063,1643387315,2
21,1016976740,1184217570,4
22,1643387315,1840075179,4
23,1184217570,1258907380,4
24,1840029492,1840029519,2
25,1840029591,1840029499,2
26,1840029519,1840029477,2
27,1840029499,1840029477,2
28,1840029477,1840029523,2
29,1840029523,1840029552,2
30,1840029552,1840029522,2
31,1840029522,1840029531,2
32,1840029531,1840137080,2
33,1840137080,1840025211,2
34,1840025211,1840029578,2
35,1840075052,1840029550,2
36,1840029578,1840029577,2
37,1840137108,1840039259,2
38,1840039242,1840029577,2
39,1840029577,1840029470,2
40,1840039268,1840023258,2
41,1840029550,1840029562,2
42,1840029562,1840023249,2
43,1840023249,1840039224,2
44,1840023258,1840039259,2
45,1840029470,1840075009,2
46,1840039259,1840029589,2
47,1840029589,1840023251,2
48,1840039224,1840023251,2
49,1840023251,1840029588,2
50,1840075009,1840029579,2
51,1840029588,1840029469,2
52,1840029514,1840029468,2
53,1840029469,1840029579,2
54,1840029579,1840013305,4
55,1840013305,1840029498,2
56,1840029468,1840029498,2
57,1840029498,1840023244,2
58,1840075025,1840023244,2
59,1840023244,1840029558,2
60,1840029558,1840039181,2
61,1840039181,1840075038,2
62,1840075038,1840023234,2
63,1840023234,1840023239,2
64,1840037549,1840023239,2
65,1840023239,1840023232,2
66,1840023232,1840029507,2
67,1840029507,1840025210,2
68,1840025210,1840039188,2
69,1840029545,1840023236,2
70,1840039188,1840023236,2
71,1840023236,1840074990,2
72,1840074990,1840029587,2
73,1840029493,1840029482,2
74,1840029482,1840029587,2
75,1840029587,1840137122,2
76,1840137122,1840023193,2
77,1840023193,1840029582,2
